;id;word;transcription;translate;shows;result
0;100;coach;[ kəuʧ ];"тренировать, инструктор";1;1
32;132;jeans;[ ʤi:nz ];джинсы;0;0
33;133;raincoat;[ 'reinkəut ];плащ;0;0

